maktimestamp,altitude,velocity
1533207770.460,,6.827520000000001
1533207770.901,662.94,
1533207770.919,,7.152640000000001
1533207771.258,670.5600000000001,
1533207771.438,,7.152640000000001
1533207771.897,670.5600000000001,
1533207771.922,,6.502400000000001
1533207772.306,670.5600000000001,
1533207772.340,,6.502400000000001
1533207772.416,670.5600000000001,
1533207772.956,,4.8768
1533207772.956,678.1800000000001,
1533207773.437,678.1800000000001,
1533207773.508,,4.8768
1533207773.846,678.1800000000001,
1533207774.100,,3.5763200000000004
1533207774.316,678.1800000000001,
1533207774.544,,3.5763200000000004
1533207774.884,685.8000000000001,
1533207775.091,,2.60096
1533207775.320,685.8000000000001,
1533207775.534,,2.60096
1533207775.805,685.8000000000001,
1533207776.051,,1.95072
1533207776.353,685.8000000000001,
1533207776.462,,1.95072
1533207776.772,685.8000000000001,
1533207776.996,,2.9260800000000002
1533207777.178,685.8000000000001,
1533207777.440,,2.9260800000000002
1533207777.659,685.8000000000001,
1533207777.932,,4.8768
1533207778.172,693.4200000000001,
1533207778.460,,4.8768
1533207778.640,693.4200000000001,
1533207778.910,,5.52704
1533207779.236,701.0400000000001,
1533207779.444,,5.52704
1533207779.788,701.0400000000001,
1533207779.951,,8.128
1533207780.011,,8.128
1533207780.059,701.0400000000001,
1533207780.241,708.6600000000001,
1533207780.527,,8.128
1533207780.848,708.6600000000001,
1533207781.008,,9.10336
1533207781.323,716.2800000000001,
1533207781.549,,9.10336
1533207781.702,716.2800000000001,
1533207782.154,723.9000000000001,
1533207782.157,,9.42848
1533207782.573,,9.42848
1533207782.677,731.52,
1533207783.080,731.52,
1533207783.163,,10.72896
1533207783.567,739.14,
1533207783.569,,10.72896
1533207783.961,746.76,
1533207784.145,,10.72896
1533207784.484,746.76,
1533207784.697,,10.72896
1533207784.905,754.38,
1533207785.231,,9.7536
1533207785.492,754.38,
1533207785.695,,9.7536
1533207785.996,762.0,
1533207786.123,,9.7536
1533207786.406,769.62,
1533207786.661,,9.7536
1533207786.872,769.62,
1533207787.171,,9.42848
1533207787.337,777.24,
1533207787.721,,9.42848
1533207787.773,777.24,
1533207788.135,,8.45312
1533207788.302,784.86,
1533207788.529,,8.45312
1533207788.698,784.86,
1533207789.115,,10.07872
1533207789.312,792.48,
1533207789.671,,10.07872
1533207789.790,800.1,
1533207790.107,,10.07872
1533207790.359,800.1,
1533207790.663,,10.07872
1533207790.847,807.72,
1533207791.226,,10.07872
1533207791.382,815.34,
1533207791.769,815.34,
1533207791.817,,8.77824
1533207792.289,822.96,
1533207792.341,,8.77824
1533207792.770,822.96,
1533207792.804,,8.45312
1533207793.287,830.58,
1533207793.333,,8.45312
1533207793.661,830.58,
1533207793.796,,8.128
1533207793.954,830.58,
1533207794.080,,8.45312
1533207794.198,838.2,
1533207794.360,,8.128
1533207794.759,838.2,
1533207794.776,,8.77824
1533207795.348,,8.77824
1533207795.358,845.82,
1533207795.791,845.82,
1533207795.946,,8.77824
1533207795.983,845.82,
1533207795.983,,8.77824
1533207796.282,853.44,
1533207796.510,,8.77824
1533207796.738,853.44,
1533207796.933,,9.42848
1533207797.236,861.0600000000001,
1533207797.469,,9.42848
1533207797.667,868.6800000000001,
1533207797.969,,10.07872
1533207798.147,868.6800000000001,
1533207798.549,,10.07872
1533207798.584,876.3000000000001,
1533207799.047,,9.7536
1533207799.064,876.3000000000001,
1533207799.490,,9.7536
1533207799.617,883.9200000000001,
1533207799.638,,10.07872
1533207799.959,,9.7536
1533207800.112,891.5400000000001,
1533207800.553,,9.7536
1533207800.611,899.1600000000001,
1533207800.987,,9.10336
1533207801.138,899.1600000000001,
1533207801.481,,9.10336
1533207801.698,906.7800000000001,
